                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.9007,                  8.875,                 1.7063,                0.00106,                0.31111,                0.00085,                0.00023,                 2.3937,                 7.6488,                 1.3123,                0.00054,                0.00054,                0.00054
                      1,                 2.1982,                 5.0475,                  1.276,                0.00064,                0.18889,                 0.0454,                0.02141,                 2.0919,                 6.3495,                 1.3123,              0.0010891,              0.0010891,              0.0010891
                      2,                 2.0412,                 3.7142,                 1.1817,                0.85073,                0.14444,                0.24782,                0.10428,                 2.4406,                 4.5891,                 1.6113,              0.0016271,              0.0016271,              0.0016271
                      3,                 1.9902,                 3.0352,                 1.1683,                0.97434,                0.18889,                0.25234,                0.11093,                 2.4948,                 3.9151,                  1.643,              0.0019406,              0.0019406,              0.0019406
                      4,                  1.934,                 2.6529,                 1.1381,                0.50048,                0.43333,                0.42888,                0.15149,                 2.1666,                 2.9318,                 1.3248,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.8518,                 2.2993,                 1.1149,                0.82994,                    0.4,                0.52049,                0.22802,                 1.8845,                 2.3133,                 1.2577,              0.0019208,              0.0019208,              0.0019208
                      6,                   1.72,                 1.9818,                 1.0935,                0.89893,                0.54444,                0.73261,                0.32611,                 1.8278,                 1.6409,                 1.1778,               0.001901,               0.001901,               0.001901
                      7,                 1.7279,                 1.7411,                 1.0993,                0.86467,                  0.639,                0.75126,                0.32128,                 1.9169,                 1.6372,                 1.2486,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.6108,                 1.5231,                 1.0264,                 0.8204,                0.65985,                0.76824,                0.34915,                 1.7293,                 1.2908,                 1.1542,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.5534,                 1.3352,                 1.0332,                0.84104,                0.76428,                0.79924,                 0.3448,                 1.7206,                 1.2684,                 1.1317,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.7274,                 1.3512,                  1.067,                0.82071,                    0.7,                0.83627,                0.39245,                 1.7417,                 1.6916,                 1.1421,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.5673,                 1.2298,                 1.0145,                0.87217,                0.68889,                0.81331,                0.39804,                 1.7584,                 1.3139,                 1.1234,               0.001802,               0.001802,               0.001802
                     12,                 1.5575,                 1.1881,                 0.9965,                 0.8165,                 0.7416,                0.83467,                0.36344,                 1.8495,                 1.1866,                 1.1699,              0.0017822,              0.0017822,              0.0017822
